true,pred,correct,queries,pred_sents
0,0,True,"the age is 65.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Widowed, the occupation is SAL-Sales Representatives, Wholesale And Manufacturing, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 16.0, the sex is Female","the age is 65.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is 1 or more years of college credit but no degree, the marital status is Widowed, the occupation is SAL-Sales Representatives, Wholesale And Manufacturing, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 16.0, the sex is Female"
1,1,True,"the age is 57.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Married, the occupation is PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians, the place of birth is North Carolina/NC, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Male","the age is 57.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Married, the occupation is PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians, the place of birth is Florida/FL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Male"
2,2,True,"the age is 51.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Separated, the occupation is SAL-First-Line Supervisors Of Retail Sales Workers, the place of birth is West Virginia/WV, the relationship is Unmarried partner, the usual hours worked per week past 12 months is 40.0, the sex is Female","the age is 51.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Separated, the occupation is SAL-First-Line Supervisors Of Retail Sales Workers, the place of birth is Kentucky/KY, the relationship is Unmarried partner, the usual hours worked per week past 12 months is 40.0, the sex is Female"
3,3,True,"the age is 55.0, the class of worker is State government employee, the educational attainment is Bachelors degree, the marital status is Married, the occupation is MGR-Financial Managers, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 44.0, the sex is Male","the age is 55.0, the class of worker is State government employee, the educational attainment is Bachelors degree, the marital status is Married, the occupation is MGR-Financial Managers, the place of birth is California/CA, the relationship is Reference person, the usual hours worked per week past 12 months is 44.0, the sex is Male"
4,4,True,"the age is 33.0, the class of worker is State government employee, the educational attainment is Some college, but less than 1 year, the marital status is Married, the occupation is PRD-Sewing Machine Operators, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 44.0, the sex is Male","the age is 33.0, the class of worker is State government employee, the educational attainment is Some college, but less than 1 year, the marital status is Married, the occupation is TRN-Refuse And Recyclable Material Collectors, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 44.0, the sex is Male"
5,5,True,"the age is 36.0, the class of worker is Federal government employee, the educational attainment is Masters degree, the marital status is Married, the occupation is SCI-Biological Scientists, the place of birth is New York/NY, the relationship is Reference person, the usual hours worked per week past 12 months is 25.0, the sex is Female","the age is 36.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Masters degree, the marital status is Married, the occupation is SCI-Biological Scientists, the place of birth is New York/NY, the relationship is Reference person, the usual hours worked per week past 12 months is 25.0, the sex is Female"
6,6,True,"the age is 32.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Married, the occupation is CON-Construction Equipment Operators, the place of birth is Alabama/AL, the relationship is Reference person, the usual hours worked per week past 12 months is 50.0, the sex is Male","the age is 32.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Married, the occupation is CON-Construction Equipment Operators, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 50.0, the sex is Male"
7,7,True,"the age is 19.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is PRD-Sewing Machine Operators, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 32.0, the sex is Male","the age is 19.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Regular high school diploma, the marital status is Never married or under 15 years old, the occupation is PRD-Sewing Machine Operators, the place of birth is Alabama/AL, the relationship is Biological son or daughter, the usual hours worked per week past 12 months is 32.0, the sex is Female"
8,8,True,"the age is 62.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Masters degree, the marital status is Married, the occupation is MGR-General And Operations Managers, the place of birth is Alaska/AK, the relationship is Husband/wife, the usual hours worked per week past 12 months is 50.0, the sex is Male","the age is 62.0, the class of worker is Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions, the educational attainment is Masters degree, the marital status is Married, the occupation is MGR-General And Operations Managers, the place of birth is Alaska/AK, the relationship is Reference person, the usual hours worked per week past 12 months is 50.0, the sex is Male"
9,9,True,"the age is 39.0, the class of worker is Employee of a private not-for-profit, tax-exempt, or charitable organization, the educational attainment is Bachelors degree, the marital status is Married, the occupation is MGR-Financial Managers, the place of birth is West Virginia/WV, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Female","the age is 39.0, the class of worker is Employee of a private not-for-profit, tax-exempt, or charitable organization, the educational attainment is Bachelors degree, the marital status is Married, the occupation is MGR-Financial Managers, the place of birth is Alabama/AL, the relationship is Husband/wife, the usual hours worked per week past 12 months is 40.0, the sex is Female"
